isin,symbol
US3453708600,F
US45781V1017,IIPR
US34959E1091,FTNT
KYG8020E1199,0981.HK
US8676524064,SPWR
NL0000303709,AGN.AS
US5500211090,LULU
US0533321024,AZO
DE000A2QDNX9,C0M.DE
US08862E1091,BYND
PLOPTTC00011,CDR.WA
NL0009739416,PNL.AS
DE0005765507,XTP.F
CH0010570767,LISP.SW
ES0173516115,REP.MC
US8816242098,TEVAN.MX
LU2010095458,GFG.DE
DE000A111338,AM3D.DE
DE000A161N30,GLJ.DE
US81762P1021,NOW
US91913Y1001,VLO
DE0006200108,INH.F
US8740541094,TTWO
DE0007257503,CEC.DE
CA11777Q2099,BTO.TO
US65481N1000,0O9.F
CA03880B1040,ABR.V
US56035L1044,MAIN
US03027X1000,AMT
FR0011742329,MCPHY.PA
CA08772W1086,False
CA92027E1051,False
LU1778762911,SPOT
US30162V4095,XELA
DE0005570808,UBK.DE
CA64112G1054,False
DE000A0XYHT5,IBU.DE
US0258161092,AXP
CA0641491075,BNS.TO
AT0000946652,SBO.VI
US50155Q1004,KD
DE000A14KEB5,H24.DE
JP3358000002,7309.T
DE0007274136,STO3.DE
US58155Q1031,MCK
AU000000NVX4,NVX.AX
DE000A161077,HXCK.DE
GB00B2QPKJ12,FRES.L
US47215P1066,JD
NL0012969182,ADYEN.AS
DE000BFB0019,B4B.DE
US2786421030,EBAY
DE0007165607,SRT.DE
CA26210W1005,FLT.V
NL0000009827,DSM.AS
US5128071082,LRCX
DE0007074007,KWS.DE
LR0008862868,RCL
CH1175448666,False
AU000000PLL5,PLL.AX
US70614W1009,PTON
NL0000888691,AMG.AS
FR0011648716,ALCRB.PA
CA6979001089,PAAS.TO
CA92647B3092,VR.CN
US0382221051,AMAT
DK0061540341,GREENH.CO
US90138F1021,TWLO
US09260D1072,BX
CA9628791027,WPM.TO
SE0013647385,BICO.ST
CA0084741085,AEM
DE000A0JCY11,M0Y.DE
JP3435000009,6758.T
DE000A0B9N37,False
CA48222R1010,JUVAF
BMG864081044,SLP.L
DE0006223407,PCZ.DE
US8318652091,AOS
DE0006083405,HBH.DE
AT0000821103,UQA.VI
DE000A0HGQF5,MF6.DE
DE000KBX1006,KBX.DE
KYG017191142,9988.HK
DE000A0SMU87,DE000A0SMU87.SG
US6792951054,OKTA
DE000A2TSL71,DE000A2TSL71.SG
BMG359472021,FLNG.OL
CA22888A1084,CRUZ.CN
US22052L1044,CTVA
US5797802064,MKC
US89151E1091,TTE
US9182041080,VFC
US6153691059,MCO
DE0007480204,DEQ.DE
DE0006569908,MLP.DE
DE0005545503,1U1.DE
FI0009013296,NESTE.HE
DK0060448595,COLO-B.CO
CA3499151080,FVI.TO
CH0030170408,GEBN.SW
US7710491033,RBLX
SE0000108656,ERIC-B.ST
BMG9456A1009,GLNG
US4523271090,ILMN
DE000A255F11,DE000A255F11.SG
US23804L1035,DDOG
DE0005103006,ADV.DE
GB00BDHXPJ60,I3E.L
GB0005405286,HSBA.L
US4562371066,ILPT
US0758871091,BDX
DE000A2DAM03,AAG.DE
DE0005137004,DE0005137004.SG
DE000A2GS633,AEIN.DE
IT0005388266,SCF.MI
JP3952840001,3858.T
KYG5463R1020,LHC
GB00BLDYK618,SMT.L
US5184391044,EL
FR0010040865,GFC.PA
CA70337R1073,PMET.CN
NL0009434992,LYB
CNE1000031W9,1772.HK
US98980G1022,ZS
DE000A1H8BV3,NOEJ.DE
DE0005936124,OHB.DE
CA8271241082,SILO.CN
IE00BH3XCL94,EQT.L
US7672921050,RIOT
DE000A1681X5,SNG.DE
JP3735400008,9432.T
US76206K1079,RNMBY
US67577C1053,OCGN
BMG173841013,BWLPG.OL
US4062161017,HAL
BE0003555639,TESB.BR
GB00BJDQQ870,WOSG.L
BMG3682E1921,FRO
CA53681G1090,LITH.V
DE000PAT1AG3,PAT.DE
US42830T1043,False
BMG210901242,0855.HK
FR0011726835,GTT.PA
US4330001060,HIMS
US7223041028,PDD
AT0000644505,LNZ.VI
US6668071029,NOC
US98978V1035,ZTS
DE000A3E5D56,FPE.DE
LU0775917882,GYC.DE
BMG667211046,NCLH
DE0005550636,DRW3.DE
US22822V1017,CCI
US3364331070,FSLR
CH0396131929,ROR.DU
US2561631068,DOCU
DE0005168108,B5A.DE
DE000A0Z1JH9,PSAN.DE
JP3436100006,9984.T
US25400W1027,APPS
US25402D1028,DOCN
US4435731009,HUBS
DE0005229504,BIJ.F
US15677X1072,False
US87185L2060,SYSX
FI4000330972,FI4000330972.SG
US0162551016,ALGN
US1729674242,C
CH0025238863,KNIN.SW
US7802593050,L3H.F
US5021751020,LTC
US05464C1018,AXON
DE000A289VV1,HAEK.DE
US9191343048,VLEEY
US6821891057,ON
US74624M1027,PSTG
ES0130670112,ELE.MC
DE000A0ETBQ4,MBB.DE
GB00B0381Z20,SNG.L
DE000A2LQ850,PAG.DE
US90364P1057,PATH
DE000A12UPJ7,PAL.F
US5010441013,KR
DE0005677108,ELG.DE
US4943681035,KMB
FR0000052292,RMS.PA
CA8672241079,SU.TO
SE0014855292,READ.ST
US9043111072,UAA
DE000WACK012,WAC.DE
US7185461040,PSX
US83088M1027,SWKS
LU2333563281,LU2333563281.SG
DE0006052830,MBH3.F
AU000000FGR3,FGR.AX
DE000A3E5A59,SBX.DU
US3377381088,FISV
NO0010890304,ACC.OL
CA29258Y1034,EDR.TO
DE000A255G02,H2O.F
US49271V1008,KDP
US69343P1057,False
DE000A1K0235,SMHN.DE
AT0000A21KS2,IIA.VI
US03236M2008,AMRS
JP3866800000,6752.T
CNE100001TJ4,1958.HK
US1890541097,CLX
US8261975010,SIEGY
AT00000FACC2,FACC.VI
CA91360F1099,IBO.V
US16119P1084,CHTR
