isin,symbol
AU000000RFX8,RFX.AX
AU000000RGI7,False
AU000000RHC8,RHC.AX
AU000000RHT2,RHT.AX
AU000000RIC6,RIC.AX
AU000000RIE2,RIE.AX
AU000000RIM5,RIM.AX
AU000000RIO1,RIO.AX
AU000000RKN9,RKN.AX
AU000000RLC0,RLC.AX
AU000000RMD6,RMD.AX
AU000000RMS4,RMS.AX
AU000000RMX4,RMX.AX
AU000000RND4,RND.AX
AU000000RNE2,RNE.AX
AU000000RNU8,RNU.AX
AU000000ROG5,ROG.AX
AU000000RRL8,RRL.AX
AU000000RSG6,RSG.AX
AU000000RSH4,RSH.AX
AU000000RTR1,RTR.AX
AU000000RUB3,False
AU000000RUL2,RUL.AX
AU000000RVR7,RVR.AX
AU000000RWC7,RWC.AX
AU000000RWD5,RWD.AX
AU000000RXL6,RXL.AX
AU000000RXM4,RXM.AX
AU000000S2R9,S2R.AX
AU000000S320,S32.AX
AU000000SAS7,False
AU000000SAU3,SAU.AX
AU000000SBM8,SBM.AX
AU000000SBR7,SBR.AX
AU000000SCD5,False
AU000000SCG8,SCG.AX
AU000000SCP9,SCP.AX
AU000000SDI2,SDI.AX
AU000000SDL6,False
AU000000SDV5,SDV.AX
AU000000SE12,SE1.AX
AU000000SEK6,SEK.AX
AU000000SEN0,SEN.AX
AU000000SES9,SES.AX
AU000000SFR8,SFR.AX
AU000000SFX6,SFX.AX
AU000000SGC8,SGC.AX
AU000000SGF1,SGF.AX
AU000000SGH7,SGH.AX
AU000000SGM7,SGM.AX
AU000000SGP0,SGP.AX
AU000000SGQ8,SGQ.AX
AU000000SGR6,SGR.AX
AU000000SHL7,SHL.AX
AU000000SHO1,SHO.AX
AU000000SHV6,SHV.AX
AU000000SI67,SI6.AX
AU000000SIG5,SIG.AX
AU000000SIH3,SIH.AX
AU000000SIX0,SIX.AX
AU000000SKF3,SKF.AX
AU000000SLC8,SLC.AX
AU000000SLR6,SLR.AX
AU000000SLX4,SLX.AX
AU000000SMN3,SMN.AX
AU000000SMR4,SMR.AX
AU000000SNS0,SNS.AX
AU000000SNX0,False
AU000000SOL3,SOL.AX
AU000000SOM1,SOM.AX
AU000000SOR0,SOR.AX
AU000000SPL0,SPL.AX
AU000000SPQ9,SPQ.AX
AU000000SPZ0,SPZ.AX
AU000000SRK8,SRK.AX
AU000000SRN2,SRN.AX
AU000000SRZ6,SRZ.AX
AU000000SSM2,SSM.AX
AU000000STA5,STA.AX
AU000000STL2,False
AU000000STM0,STM.AX
AU000000STO6,STO.AX
AU000000STX7,STX.AX
AU000000SUN6,SUN.AX
AU000000SVL8,SVL.AX
AU000000SVM6,SVM.AX
AU000000SVW5,SVW.AX
AU000000SVY1,SVY.AX
AU000000SWM4,SWM.AX
AU000000SXE9,SXE.AX
AU000000SXL4,SXL.AX
AU000000SXX9,False
AU000000SYA5,SYA.AX
AU000000SYR9,SYR.AX
AU000000T3D6,T3D.AX
AU000000TAH8,TAH.AX
AU000000TAM8,TAM.AX
AU000000TAR7,TAR.AX
AU000000TAS5,TAS.AX
AU000000TBR5,TBR.AX
AU000000TCL6,TCL.AX
AU000000TDL4,False
AU000000TDO8,TDO.AX
AU000000TEG2,TEG.AX
AU000000TEK4,TEK.AX
AU000000TER9,TER.AX
AU000000TGA0,TGA.AX
AU000000TGD4,False
AU000000TGN3,TGN.AX
AU000000TGP8,TGP.AX
AU000000TGR4,TGR.AX
AU000000THR2,THR.AX
AU000000TIE8,TIE.AX
AU000000TLG7,TLG.AX
AU000000TLM5,TLM.AX
AU000000TLS2,TLS.AX
AU000000TLX2,TLX.AX
AU000000TMT8,TMT.AX
AU000000TMX0,TMX.AX
AU000000TNE8,TNE.AX
AU000000TNG3,TNG.AX
AU000000TNY6,TNY.AX
AU000000TOE6,TOE.AX
AU000000TON7,TON.AX
AU000000TOP2,TOP.AX
AU000000TOU2,TOU.AX
AU000000TPC7,TPC.AX
